Canton,HTTPNominal,HTTPSNominal,AllNominal,HTTPPeople,HTTPSPeople,AllPeople
TG,1,23,80,1243,113910,269631
AG,9,53,212,23777,206234,670097
BE,28,135,347,43716,489801,1031126
VD,32,105,309,60379,274290,793129
TI,33,27,115,63787,169792,353709
LU,5,26,83,9535,178292,406506
ZH,4,43,166,12280,878128,1501667
SO,10,25,109,11181,34217,271432
BL,3,43,86,1700,89924,287023
VS,7,66,126,6013,178878,341463
GE,7,12,45,75115,106995,495249
GR,5,48,108,4040,112451,197935
JU,4,21,55,7867,21803,73290
OW,0,0,7,0,0,37575
SZ,2,12,30,19065,73800,157301
UR,2,9,20,630,24735,36299
FR,7,48,136,4905,135495,315074
SG,0,12,77,0,134747,504686
AI,0,0,6,0,0,16105
ZG,0,4,11,0,33713,125421
SH,5,3,26,38774,16553,81351
BS,0,1,3,0,21244,193908
NW,0,0,11,0,0,42969
NE,2,27,31,1213,127737,177964
AR,2,5,20,7124,9474,55178
GL,1,2,3,9581,30768,40349
CH,169,750,2222,401925,3462981,8476437
